2016.7	6.0	5.0
1983.9	6.0	6.0
2128.8	7.0	4.0
2150.9	5.0	4.0
2150.9	6.0	3.0
2150.9	6.0	3.0
2366.4	6.0	2.0
2366.4	6.0	2.0
2213.2	4.0	4.0
2366.4	6.0	2.0
2213.2	4.0	4.0
2213.2	4.0	4.0
2366.4	6.0	2.0
2376.0	5.0	2.0
2366.4	6.0	2.0
2366.4	6.0	2.0
2358.6	4.0	3.0
2213.2	4.0	4.0
2213.2	5.0	3.0
2213.2	5.0	3.0
2366.4	6.0	2.0
2358.6	4.0	3.0
2213.2	4.0	4.0
2358.6	4.0	3.0
2376.0	5.0	2.0
2358.6	4.0	3.0
2488.0	4.0	2.0
2213.2	5.0	3.0
2376.0	5.0	2.0
2376.0	5.0	2.0
2376.0	5.0	2.0
2376.0	5.0	2.0
2861.7	3.0	3.0
2861.7	3.0	3.0
2358.6	4.0	3.0
2376.0	5.0	2.0
2213.2	4.0	4.0
2861.7	3.0	3.0
2861.7	3.0	3.0
2213.2	4.0	4.0
2488.0	4.0	2.0
2488.0	4.0	2.0
2488.0	4.0	2.0
3763.3	2.0	2.0
3763.3	2.0	2.0
2865.2	3.0	2.0
2865.2	3.0	2.0
2488.0	4.0	2.0
3763.3	2.0	2.0
2213.2	5.0	3.0
2865.2	3.0	2.0
3836.0	2.0	1.0
3763.3	2.0	2.0
3059.0	4.0	1.0
3763.3	2.0	2.0
3763.3	2.0	2.0
3836.0	2.0	1.0
2376.0	5.0	2.0
2865.2	3.0	2.0
3232.2	3.0	1.0
3836.0	2.0	1.0
3836.0	2.0	1.0
2861.7	3.0	3.0
2861.7	3.0	3.0
2366.4	6.0	2.0
2358.6	4.0	3.0
2861.7	3.0	3.0
3763.3	2.0	2.0
3836.0	2.0	1.0
3836.0	2.0	1.0
3763.3	2.0	2.0
2865.2	3.0	2.0
3836.0	2.0	1.0
3836.0	2.0	1.0
3232.2	3.0	1.0
3232.2	3.0	1.0
2865.2	3.0	2.0
2861.7	3.0	3.0
3059.0	4.0	1.0
3232.2	3.0	1.0
2358.6	4.0	3.0
2213.2	5.0	3.0
2358.6	4.0	3.0
3232.2	3.0	1.0
2488.0	4.0	2.0
3232.2	3.0	1.0
2865.2	3.0	2.0
2213.2	5.0	3.0
3059.0	4.0	1.0
2488.0	4.0	2.0
3232.2	3.0	1.0
2865.2	3.0	2.0
2213.2	5.0	3.0
3059.0	4.0	1.0
2488.0	4.0	2.0
3232.2	3.0	1.0
3059.0	4.0	1.0
3059.0	4.0	1.0
3059.0	4.0	1.0
3059.0	4.0	1.0
